timestamp_utc,open_interest,volume,trade_open,trade_high,trade_low,trade_close,trade_mean,trade_previous,yes_bid_close,yes_ask_close,timestamp_et,midpoint,spread,trade_close_filled
2026-04-29 18:27:00+00:00,313489.64,36.23,0.55,0.559,0.55,0.559,0.5517,0.55,0.543,0.559,2026-04-29 14:27:00-04:00,0.551,0.016000000000000014,0.559
2026-04-29 18:28:00+00:00,313489.64,0.0,,,,,,0.559,0.544,0.559,2026-04-29 14:28:00-04:00,0.5515000000000001,0.015000000000000013,0.559
2026-04-29 18:29:00+00:00,313489.64,0.0,,,,,,0.559,0.544,0.555,2026-04-29 14:29:00-04:00,0.5495000000000001,0.01100000000000001,0.559
2026-04-29 18:30:00+00:00,313512.75,23.11,0.555,0.555,0.555,0.555,0.555,0.559,0.533,0.553,2026-04-29 14:30:00-04:00,0.543,0.020000000000000018,0.555
2026-04-29 18:32:00+00:00,313512.75,0.0,,,,,,0.555,0.533,0.553,2026-04-29 14:32:00-04:00,0.543,0.020000000000000018,0.555
2026-04-29 18:34:00+00:00,313512.75,0.0,,,,,,0.555,0.533,0.55,2026-04-29 14:34:00-04:00,0.5415000000000001,0.017000000000000015,0.555
2026-04-29 18:39:00+00:00,313512.75,0.0,,,,,,0.555,0.533,0.553,2026-04-29 14:39:00-04:00,0.543,0.020000000000000018,0.555
2026-04-29 18:41:00+00:00,313512.75,0.0,,,,,,0.555,0.533,0.552,2026-04-29 14:41:00-04:00,0.5425,0.019000000000000017,0.555
2026-04-29 18:42:00+00:00,313600.54,87.79,0.552,0.553,0.552,0.553,0.5522,0.555,0.533,0.553,2026-04-29 14:42:00-04:00,0.543,0.020000000000000018,0.553
2026-04-29 18:43:00+00:00,313600.54,0.0,,,,,,0.553,0.533,0.552,2026-04-29 14:43:00-04:00,0.5425,0.019000000000000017,0.553
2026-04-29 18:45:00+00:00,313709.3,108.76,0.552,0.552,0.552,0.552,0.552,0.553,0.532,0.552,2026-04-29 14:45:00-04:00,0.542,0.020000000000000018,0.552
2026-04-29 18:47:00+00:00,313709.3,0.0,,,,,,0.552,0.533,0.552,2026-04-29 14:47:00-04:00,0.5425,0.019000000000000017,0.552
2026-04-29 18:48:00+00:00,315709.3,2000.0,0.552,0.552,0.552,0.552,0.552,0.552,0.534,0.557,2026-04-29 14:48:00-04:00,0.5455000000000001,0.02300000000000002,0.552
2026-04-29 18:49:00+00:00,315717.45,8.15,0.559,0.559,0.559,0.559,0.559,0.552,0.536,0.56,2026-04-29 14:49:00-04:00,0.548,0.02400000000000002,0.559
2026-04-29 18:51:00+00:00,315717.45,0.0,,,,,,0.559,0.537,0.56,2026-04-29 14:51:00-04:00,0.5485,0.02300000000000002,0.559
2026-04-29 18:53:00+00:00,315717.45,0.0,,,,,,0.559,0.541,0.56,2026-04-29 14:53:00-04:00,0.5505,0.019000000000000017,0.559
2026-04-29 18:54:00+00:00,315717.45,0.0,,,,,,0.559,0.543,0.56,2026-04-29 14:54:00-04:00,0.5515000000000001,0.017000000000000015,0.559
2026-04-29 18:55:00+00:00,315717.45,0.0,,,,,,0.559,0.544,0.56,2026-04-29 14:55:00-04:00,0.552,0.016000000000000014,0.559
2026-04-29 18:56:00+00:00,315717.45,0.0,,,,,,0.559,0.545,0.56,2026-04-29 14:56:00-04:00,0.5525,0.015000000000000013,0.559
2026-04-29 18:57:00+00:00,315717.45,2000.0,0.56,0.56,0.56,0.56,0.56,0.559,0.55,0.56,2026-04-29 14:57:00-04:00,0.555,0.010000000000000009,0.56
2026-04-29 18:59:00+00:00,315717.45,1000.0,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.57,2026-04-29 14:59:00-04:00,0.565,0.009999999999999898,0.56
2026-04-29 19:00:00+00:00,315903.45,486.0,0.57,0.57,0.57,0.57,0.57,0.56,0.563,0.581,2026-04-29 15:00:00-04:00,0.572,0.018000000000000016,0.57
2026-04-29 19:01:00+00:00,315903.45,0.0,,,,,,0.57,0.564,0.582,2026-04-29 15:01:00-04:00,0.573,0.018000000000000016,0.57
2026-04-29 19:09:00+00:00,316070.09,166.64,0.582,0.583,0.582,0.583,0.583,0.57,0.564,0.583,2026-04-29 15:09:00-04:00,0.5734999999999999,0.019000000000000017,0.583
2026-04-29 19:10:00+00:00,316070.09,0.0,,,,,,0.583,0.565,0.583,2026-04-29 15:10:00-04:00,0.574,0.018000000000000016,0.583
2026-04-29 19:11:00+00:00,316070.09,0.0,,,,,,0.583,0.57,0.583,2026-04-29 15:11:00-04:00,0.5765,0.013000000000000012,0.583
2026-04-29 19:12:00+00:00,316070.09,0.0,,,,,,0.583,0.571,0.584,2026-04-29 15:12:00-04:00,0.5774999999999999,0.013000000000000012,0.583
2026-04-29 19:13:00+00:00,316170.09,100.0,0.584,0.584,0.584,0.584,0.584,0.583,0.571,0.584,2026-04-29 15:13:00-04:00,0.5774999999999999,0.013000000000000012,0.584
2026-04-29 19:16:00+00:00,312294.65,4897.41,0.571,0.571,0.544,0.544,0.5589,0.584,0.544,0.589,2026-04-29 15:16:00-04:00,0.5665,0.04499999999999993,0.544
2026-04-29 19:17:00+00:00,312294.65,0.0,,,,,,0.544,0.541,0.585,2026-04-29 15:17:00-04:00,0.563,0.04399999999999993,0.544
2026-04-29 19:18:00+00:00,312294.65,0.0,,,,,,0.544,0.539,0.584,2026-04-29 15:18:00-04:00,0.5615,0.04499999999999993,0.544
2026-04-29 19:19:00+00:00,312294.65,0.0,,,,,,0.544,0.539,0.584,2026-04-29 15:19:00-04:00,0.5615,0.04499999999999993,0.544
2026-04-29 19:20:00+00:00,312294.65,0.0,,,,,,0.544,0.539,0.584,2026-04-29 15:20:00-04:00,0.5615,0.04499999999999993,0.544
2026-04-29 19:21:00+00:00,312294.65,0.0,,,,,,0.544,0.539,0.55,2026-04-29 15:21:00-04:00,0.5445,0.01100000000000001,0.544
2026-04-29 19:22:00+00:00,312294.65,0.0,,,,,,0.544,0.539,0.55,2026-04-29 15:22:00-04:00,0.5445,0.01100000000000001,0.544
2026-04-29 19:24:00+00:00,312294.65,0.0,,,,,,0.544,0.539,0.55,2026-04-29 15:24:00-04:00,0.5445,0.01100000000000001,0.544
2026-04-29 19:26:00+00:00,312294.65,0.0,,,,,,0.544,0.539,0.55,2026-04-29 15:26:00-04:00,0.5445,0.01100000000000001,0.544
2026-04-29 19:32:00+00:00,312294.65,100.0,0.55,0.55,0.55,0.55,0.55,0.544,0.539,0.568,2026-04-29 15:32:00-04:00,0.5535,0.028999999999999915,0.55
2026-04-29 19:35:00+00:00,312303.17,8.52,0.568,0.568,0.568,0.568,0.568,0.55,0.539,0.568,2026-04-29 15:35:00-04:00,0.5535,0.028999999999999915,0.568
2026-04-29 19:38:00+00:00,312306.57,3.4,0.568,0.568,0.568,0.568,0.568,0.568,0.539,0.568,2026-04-29 15:38:00-04:00,0.5535,0.028999999999999915,0.568
2026-04-29 19:39:00+00:00,312313.37,6.8,0.568,0.568,0.568,0.568,0.568,0.568,0.539,0.568,2026-04-29 15:39:00-04:00,0.5535,0.028999999999999915,0.568
2026-04-29 19:40:00+00:00,312313.37,0.0,,,,,,0.568,0.539,0.565,2026-04-29 15:40:00-04:00,0.552,0.025999999999999912,0.568
2026-04-29 19:41:00+00:00,312313.37,0.0,,,,,,0.568,0.539,0.564,2026-04-29 15:41:00-04:00,0.5515,0.02499999999999991,0.568
2026-04-29 19:47:00+00:00,312313.37,0.0,,,,,,0.568,0.539,0.563,2026-04-29 15:47:00-04:00,0.5509999999999999,0.02399999999999991,0.568
2026-04-29 19:48:00+00:00,312324.14,2027.77,0.539,0.539,0.537,0.537,0.537,0.568,0.536,0.562,2026-04-29 15:48:00-04:00,0.549,0.026000000000000023,0.537
2026-04-29 19:49:00+00:00,312330.84,6.7,0.536,0.536,0.536,0.536,0.536,0.537,0.531,0.535,2026-04-29 15:49:00-04:00,0.533,0.0040000000000000036,0.536
2026-04-29 19:50:00+00:00,312297.11,33.73,0.531,0.531,0.531,0.531,0.531,0.536,0.532,0.535,2026-04-29 15:50:00-04:00,0.5335000000000001,0.0030000000000000027,0.531
2026-04-29 19:51:00+00:00,312297.11,1300.0,0.532,0.532,0.532,0.532,0.532,0.531,0.53,0.538,2026-04-29 15:51:00-04:00,0.534,0.008000000000000007,0.532
2026-04-29 19:53:00+00:00,312297.11,0.0,,,,,,0.532,0.53,0.549,2026-04-29 15:53:00-04:00,0.5395000000000001,0.019000000000000017,0.532
2026-04-29 19:54:00+00:00,314328.91,2071.24,0.549,0.55,0.549,0.55,0.55,0.532,0.532,0.551,2026-04-29 15:54:00-04:00,0.5415000000000001,0.019000000000000017,0.55
2026-04-29 19:55:00+00:00,314328.91,0.0,,,,,,0.55,0.533,0.559,2026-04-29 15:55:00-04:00,0.546,0.026000000000000023,0.55
2026-04-29 19:56:00+00:00,314328.91,23.44,0.533,0.533,0.533,0.533,0.533,0.55,0.534,0.559,2026-04-29 15:56:00-04:00,0.5465,0.025000000000000022,0.533
2026-04-29 19:57:00+00:00,314328.91,0.0,,,,,,0.533,0.535,0.559,2026-04-29 15:57:00-04:00,0.547,0.02400000000000002,0.533
2026-04-29 19:58:00+00:00,314328.91,0.0,,,,,,0.533,0.535,0.559,2026-04-29 15:58:00-04:00,0.547,0.02400000000000002,0.533
2026-04-29 20:07:00+00:00,314346.24,17.33,0.559,0.559,0.559,0.559,0.559,0.533,0.539,0.559,2026-04-29 16:07:00-04:00,0.549,0.020000000000000018,0.559
2026-04-29 20:08:00+00:00,314346.24,0.0,,,,,,0.559,0.54,0.563,2026-04-29 16:08:00-04:00,0.5515,0.02299999999999991,0.559
2026-04-29 20:15:00+00:00,314380.27,34.03,0.563,0.563,0.563,0.563,0.563,0.559,0.541,0.563,2026-04-29 16:15:00-04:00,0.552,0.02199999999999991,0.563
2026-04-29 20:19:00+00:00,314380.27,0.0,,,,,,0.563,0.54,0.563,2026-04-29 16:19:00-04:00,0.5515,0.02299999999999991,0.563
2026-04-29 20:21:00+00:00,314380.27,0.0,,,,,,0.563,0.543,0.563,2026-04-29 16:21:00-04:00,0.5529999999999999,0.019999999999999907,0.563
